category,phenotype,phe_code,"all_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)","new_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)"
digestive,Disturbance of salivary secretion,527.7,"[527.7, 1567.0, 525180.0, 10.86209272329501, 4.9466949388781485, 23.851290566184787, 358828263.12197804]","[527.7, 1567.0, 519019.0, 10.97821860724935, 4.999111313719624, 24.108541743768686, 420129312.06020397]"
digestive,Other specified diseases of the salivary glands,527.8,"[527.8, 751.0, 525172.0, 0.0504215387179378, 0.0162958893593669, 0.1560106055348963, 4598330.575829932]","[527.8, 751.0, 522624.0, 0.050444131244583, 0.0162997162475275, 0.1561137837234867, 4555242.023096698]"
digestive,Stomatitis and mucositis (ulcerative),528.11,"[528.11, 804.0, 525230.0, 16.16908642298802, 5.500927823701228, 47.52641084066241, 2375507.4143833756]","[528.11, 804.0, 521010.0, 16.32480588381606, 5.555208061190281, 47.97287234047798, 2618319.1329311063]"
digestive,Oral aphthae,528.12,"[528.12, 898.0, 525229.0, 46.27476522549836, 15.513647390791872, 138.03033179328247, 163552859714.05502]","[528.12, 898.0, 522212.0, 46.68771075972921, 15.65641765648072, 139.22356849504877, 185180619207.616]"
digestive,Cellulitis and abscess of oral soft tissues,528.3,"[528.3, 270.0, 525265.0, 0.3061973683887409, 0.0352575362463817, 2.659199660265884, 3.531023552512966]","[528.3, 270.0, 521655.0, 0.3085099384663323, 0.035522765173732, 2.6793629850325256, 3.493054274144083]"
digestive,Cyst of the salivary gland,528.41,"[528.41, 14.0, 525281.0, 0.6960418129540227, 0.015223937631809, 31.823186425045368, 1.1728683647460494]","[528.41, 14.0, 524680.0, 0.6954837273693405, 0.0152170778609027, 31.78649800289941, 1.1733306868509978]"
digestive,Diseases of lips,528.5,"[528.5, 527.0, 525243.0, 1.9467230949395824, 0.5235780949058283, 7.238138579981605, 3.123865882425628]","[528.5, 527.0, 521446.0, 1.958766731889268, 0.5267388855728088, 7.284002026514186, 3.1674531279667213]"
digestive,Sialolithiasis,528.7,"[528.7, 150.0, 525262.0, 0.5302943550109122, 0.0768588749912428, 3.6588110740429145, 1.9238889987828909]","[528.7, 150.0, 524148.0, 0.5306291707842872, 0.0768994693360417, 3.661498828513418, 1.9222699710766786]"
digestive,Diseases and other conditions of the tongue,529.0,"[529.0, 643.0, 525227.0, 1.0460420039129508, 0.322932184591474, 3.3883394909505427, 1.063644586770471]","[529.0, 643.0, 522842.0, 1.0491625780559606, 0.3238517120288128, 3.398907815855849, 1.0681255774441902]"
digestive,Glossitis,529.1,"[529.1, 109.0, 525281.0, 261.4831743152645, 5.764579459632204, 11860.960704729256, 236.0529501174623]","[529.1, 109.0, 523918.0, 262.91599331836767, 5.790423884096969, 11937.782263649278, 237.59471841508005]"
digestive,Glossodynia,529.6,"[529.6, 52.0, 525275.0, 0.0777221515981941, 0.0027535634982213, 2.1937873787747018, 7.46941432069459]","[529.6, 52.0, 524322.0, 0.0778045460404807, 0.0027571479114915, 2.1955831093916607, 7.461987004336345]"
digestive,Diseases of esophagus,530.0,"[530.0, 372.0, 525248.0, 1.1230282823473423, 0.2619923545120054, 4.813852393903463, 1.141763051975745]","[530.0, 372.0, 508634.0, 1.1597136845186171, 0.2702792807039115, 4.976096675102196, 1.1877141797524022]"
digestive,GERD,530.11,"[530.11, 34609.0, 521849.0, 11.149646109425497, 9.705037439508216, 12.80928684101259, 3.47750739090093e+253]","[530.11, 34609.0, 397604.0, 14.931876597617912, 12.98708348009715, 17.167899095141696, ' < 2.225E-308']"
digestive,Esophageal bleeding (varices/hemorrhage),530.2,"[530.2, 1009.0, 525228.0, 3.9811354202031337, 1.3351377340011548, 11.871014375796433, 75.79029866454057]","[530.2, 1009.0, 506927.0, 4.158013707250619, 1.3932822086111707, 12.408884490757876, 94.03641232275466]"
digestive,Stricture and stenosis of esophagus,530.3,"[530.3, 1830.0, 525155.0, 1.1175516522637097, 0.5080395451771356, 2.458315907360897, 1.2782748107667674]","[530.3, 1830.0, 521757.0, 1.1188553120110942, 0.5086473951539565, 2.461110036426195, 1.2819344575719485]"
digestive,Disorders of esophageal motility,530.5,"[530.5, 2188.0, 525089.0, 2.570438416550584, 1.3976846852404536, 4.727213314312304, 418.5855050322461]","[530.5, 2188.0, 520469.0, 2.6071515056781127, 1.4172498002797331, 4.796076861127819, 485.1398463036239]"
digestive,"Diverticulum of esophagus, acquired",530.6,"[530.6, 40.0, 525271.0, 0.3788700609217567, 0.0314552602289764, 4.563386919006466, 2.2490180906806]","[530.6, 40.0, 524675.0, 0.3789588183929881, 0.0314594610201755, 4.564915652741484, 2.2483691377537025]"
digestive,Gastroesophageal laceration-hemorrhage syndrome,530.7,"[530.7, 18.0, 525282.0, 30.50076324590613, 0.790574776272237, 1176.7344298149824, 14.99857845292277]","[530.7, 18.0, 523901.0, 30.620609130687296, 0.7933386679824693, 1181.868149599698, 15.061771397821538]"
digestive,Heartburn,530.9,"[530.9, 1760.0, 525105.0, 6.207881490531284, 3.371505321372612, 11.430440983196004, 218710724.56245965]","[530.9, 1760.0, 502338.0, 6.3785941706736695, 3.4632840131644853, 11.747943119737364, 365056067.9996406]"
digestive,Hemorrhage from gastrointestinal ulcer,531.1,"[531.1, 832.0, 525210.0, 12.846446938851177, 5.086906468094377, 32.4423497832744, 15130390.461167214]","[531.1, 832.0, 522499.0, 12.973594581547346, 5.136553785207318, 32.76791471571465, 16922302.93457419]"
digestive,Gastric ulcer,531.2,"[531.2, 1754.0, 525173.0, 3.8491559222962346, 1.7556206404021946, 8.439181548215329, 1307.133221642273]","[531.2, 1754.0, 516717.0, 3.910847421180733, 1.783406420435176, 8.576131260099347, 1505.8004251367918]"
digestive,Duodenal ulcer,531.3,"[531.3, 233.0, 525255.0, 5.362083637414252, 1.2424360242641594, 23.14158666773541, 40.99927902445571]","[531.3, 233.0, 521812.0, 5.397173682432044, 1.2507039618775635, 23.29047052398213, 41.96088858906254]"
digestive,"Peptic ulcer, site unspecified",531.4,"[531.4, 729.0, 525188.0, 4.174262825356813, 1.8025491795601347, 9.66657128290271, 1173.0811983238852]","[531.4, 729.0, 520422.0, 4.239278417462253, 1.8304370677521224, 9.818136781305045, 1334.3998295467065]"
digestive,Gastrojejunal ulcer,531.5,"[531.5, 242.0, 525262.0, 1.9336572488262576, 0.3384622116309915, 11.047113170834, 2.1818323873108705]","[531.5, 242.0, 524494.0, 1.93599471655988, 0.3389051879069837, 11.0593631383904, 2.1858804686089996]"
digestive,Other disorders of stomach and duodenum,537.0,"[537.0, 1622.0, 525167.0, 2.632210236069288, 1.2037803201331607, 5.7556437923005, 65.25108311053789]","[537.0, 1622.0, 478955.0, 2.8554510080978077, 1.304770101369727, 6.24907058422573, 115.64426619523557]"
digestive,Appendiceal conditions,540.0,"[540.0, 321.0, 525268.0, 0.2355960605845507, 0.0214362814914536, 2.589325195467723, 4.216049081589483]","[540.0, 321.0, 524073.0, 0.2358787998513806, 0.0214692507148954, 2.591557989526167, 4.210310516099871]"
digestive,Appendicitis,540.1,"[540.1, 764.0, 525161.0, 1.26444745817189, 0.5709224951821923, 2.800428058045142, 1.7761354585186788]","[540.1, 764.0, 521121.0, 1.272317620085722, 0.5744997380319775, 2.817742148892836, 1.8092293972891311]"
digestive,Abdominal hernia,550.0,"[550.0, 3292.0, 524819.0, 0.3722027309887735, 0.2347420402988696, 0.5901579145308655, 37850.836586495]","[550.0, 3292.0, 511737.0, 0.3808702544692267, 0.2401177610620727, 0.6041291993471217, 24317.05149387985]"
digestive,Diaphragmatic hernia,550.2,"[550.2, 3691.0, 524826.0, 0.5990987461378339, 0.3839540510880442, 0.9347975535271048, 41.652352779613054]","[550.2, 3691.0, 488913.0, 0.6402746408329347, 0.4101880931875184, 0.9994234901068504, 20.119091685584063]"
digestive,Umbilical hernia,550.4,"[550.4, 1733.0, 525087.0, 1.772702938691909, 0.954918164047839, 3.2908324788023418, 14.345947714223914]","[550.4, 1733.0, 509339.0, 1.8107949259082172, 0.9750890083568956, 3.362747642105301, 16.63999195363158]"
digestive,Ventral hernia,550.5,"[550.5, 2812.0, 524881.0, 0.3853153136660819, 0.2352927021479623, 0.6309923324873374, 6630.240423215585]","[550.5, 2812.0, 512740.0, 0.3938765825829636, 0.2404191474510267, 0.6452845538803681, 4623.966715183789]"
digestive,Ulceration of the lower GI tract,556.0,"[556.0, 115.0, 525279.0, 7.799188015922599, 0.4323589212788024, 140.68712524261014, 6.0981817221499615]","[556.0, 115.0, 523959.0, 7.814940583332483, 0.4330971904615254, 141.01522167792172, 6.111910974303865]"
digestive,Ulceration of intestine,556.1,"[556.1, 13.0, 525278.0, 8.891447295044841, 0.6087037538705902, 129.87900024905687, 9.071194047219423]","[556.1, 13.0, 521619.0, 8.901060730465296, 0.6094165999761383, 130.00775189014152, 9.086676012178078]"
digestive,Intestinal malabsorption (non-celiac),557.0,"[557.0, 3566.0, 525052.0, 20.24504319248324, 11.896107929158424, 34.453434375868774, 6.958911649081804e+27]","[557.0, 3566.0, 517347.0, 20.516740179241303, 12.055267573874, 34.91723638675115, 1.1951807663476243e+28]"
digestive,Celiac disease,557.1,"[557.1, 550.0, 525154.0, 1.020594329089606, 0.4632739191951954, 2.24837345987308, 1.042040909466614]","[557.1, 550.0, 522080.0, 1.0215787899921762, 0.4637357300865698, 2.250469731903246, 1.0441169629166218]"
digestive,Noninfectious gastroenteritis,558.0,"[558.0, 8026.0, 524317.0, 2.1120817420445457, 1.600204762981776, 2.787699042193593, 7739381.606008241]","[558.0, 8026.0, 465013.0, 2.3105252858880885, 1.750348865717944, 3.049978893515333, 295204836.7865525]"
digestive,Ileostomy status,559.0,"[559.0, 1690.0, 525176.0, 6.590490608639477, 3.015176827274673, 14.405313170910889, 437191.48786241596]","[559.0, 1690.0, 522620.0, 6.604747669759099, 3.0217334299850545, 14.436313722552294, 449160.2838379308]"
digestive,Paralytic ileus,560.1,"[560.1, 1877.0, 525099.0, 321.7983960716655, 160.49358829633564, 645.2233314336136, 5.936415441052072e+58]","[560.1, 1877.0, 512262.0, 339.5086249374096, 169.24665638900373, 681.0539650600725, 5.879477570590109e+59]"
digestive,Other intestinal obstruction,560.4,"[560.4, 438.0, 525233.0, 8.502598118808816, 2.796923694385356, 25.8477465492166, 6200.560910849454]","[560.4, 438.0, 509072.0, 8.778712515083214, 2.887356423925806, 26.69077942157755, 7768.841246267197]"
digestive,Symptoms involving digestive system,561.0,"[561.0, 2136.0, 525024.0, 7.430628001553617, 4.485348563416375, 12.309908966231475, 145942445118624.78]","[561.0, 2136.0, 511455.0, 7.53033850349965, 4.545831084786454, 12.474286201937304, 221851066218181.97]"
digestive,Functional digestive disorders,564.0,"[564.0, 1950.0, 525141.0, 15.355093172772976, 7.8345893587181745, 30.09460681971407, 562477108408287.1]","[564.0, 1950.0, 520961.0, 15.42613515481349, 7.8701330303319486, 30.236546815338357, 621712757806145.8]"
digestive,Irritable Bowel Syndrome,564.1,"[564.1, 1338.0, 525112.0, 5.886562672538611, 3.158350732595783, 10.971428771384572, 41631183.94352539]","[564.1, 1338.0, 509915.0, 5.896235133553319, 3.1641736420153723, 10.98725692184362, 43333005.67301906]"
digestive,Abnormal findings on exam of gastrointestinal tract/ abdominal area,564.8,"[564.8, 4439.0, 524824.0, 1.386267379284269, 0.9149357010705148, 2.100406886100475, 8.103137952258999]","[564.8, 4439.0, 493991.0, 1.4417588303489504, 0.9516715272192714, 2.184228975477412, 11.861875567928584]"
digestive,Anal and rectal conditions,565.0,"[565.0, 5056.0, 524799.0, 0.402782433246142, 0.257219945206423, 0.6307197072197795, 14163.80298841474]","[565.0, 5056.0, 501429.0, 0.4080774919195502, 0.260658453835434, 0.6388714310278502, 11250.128539644415]"
digestive,Anal and rectal polyp,565.1,"[565.1, 320.0, 525247.0, 0.1340593714862256, 0.0236258377102675, 0.7606890093667007, 42.953702186496564]","[565.1, 320.0, 519027.0, 0.134843845047224, 0.0237677871786807, 0.7650212621993469, 42.24372286636473]"
digestive,Peritonitis and retroperitoneal infections,567.0,"[567.0, 793.0, 525227.0, 29.91111399420512, 10.353830087264292, 86.41002728785615, 2920144359.281852]","[567.0, 793.0, 520902.0, 30.31172748955924, 10.492394406446756, 87.56826972085322, 3419815973.728442]"
digestive,Other disorders of peritoneum,568.0,"[568.0, 1407.0, 525159.0, 11.701191004887315, 5.698498230466626, 24.02700946730736, 48133602230.762215]","[568.0, 1407.0, 519886.0, 11.911132984351315, 5.800707630356403, 24.45823820329053, 67107291392.30532]"
digestive,Peritoneal adhesions (postoperative) (postinfection),568.1,"[568.1, 17.0, 525282.0, 43.71627018909756, 1.058318502777989, 1805.8006868723223, 21.4542425153922]","[568.1, 17.0, 518517.0, 44.01842950924114, 1.0644252596879868, 1820.3458803937087, 21.6080881440283]"
digestive,Other disorders of intestine,569.0,"[569.0, 3152.0, 524998.0, 5.638531402020132, 3.466473076580985, 9.171580355363638, 311817386334.8914]","[569.0, 3152.0, 447247.0, 6.428079885236707, 3.948813820409845, 10.463955225596372, 13914000316824.914]"
digestive,Toxic gastroenteritis and colitis,569.1,"[569.1, 833.0, 525235.0, 39.854094167435406, 12.621721471169357, 125.8424871389318, 2988940456.678797]","[569.1, 833.0, 459704.0, 45.18811810870272, 14.227178659235436, 143.52571701772678, 9738618870.359137]"
digestive,Gastrointestinal complications,569.2,"[569.2, 4173.0, 524870.0, 7.368742205356884, 4.932628952239221, 11.007996387881256, 5.57300013021975e+21]","[569.2, 4173.0, 517708.0, 7.387657063703894, 4.94556394121661, 11.03564275775352, 6.38934332953757e+21]"
digestive,Other chronic nonalcoholic liver disease,571.5,"[571.5, 5665.0, 524673.0, 7.807613854041902, 5.614040723059051, 10.858281423475496, 3.735767277153176e+33]","[571.5, 5665.0, 504494.0, 8.071472567685285, 5.803144544720324, 11.226442648265254, 4.1051487923792737e+34]"
digestive,Primary biliary cirrhosis,571.6,"[571.6, 2603.0, 525048.0, 11.424289891181944, 6.746646755578624, 19.34507678349145, 7.951028998779e+18]","[571.6, 2603.0, 522762.0, 11.531386306027548, 6.80942785347945, 19.527759600374324, 1.0821155194007181e+19]"
digestive,Liver abscess and sequelae of chronic liver disease,571.8,"[571.8, 6717.0, 525019.0, 1.5696421206564304, 0.9132655162962432, 2.6977657022797525, 9.731398268255816]","[571.8, 6717.0, 516672.0, 1.6343489904191146, 0.9504794751889338, 2.810262285730079, 13.213344075256376]"
digestive,Portal hypertension,571.81,"[571.81, 7732.0, 524693.0, 10.286814938707709, 7.361739023974496, 14.374125629638275, 5.283183685824984e+41]","[571.81, 7732.0, 516343.0, 10.708389460393423, 7.662425069711484, 14.965184493449494, 1.2715317328144367e+43]"
digestive,Other disorders of liver,573.0,"[573.0, 5667.0, 524718.0, 3.30452622919412, 2.3186861765247118, 4.709517704460912, 26449592882.441414]","[573.0, 5667.0, 476775.0, 3.5807480785211383, 2.5119085582494063, 5.104388358296185, 566283665738.8938]"
digestive,Chronic passive congestion of liver,573.1,"[573.1, 373.0, 525234.0, 10.97654110796778, 3.592656554914152, 33.53631299103834, 38176.816312768075]","[573.1, 373.0, 522802.0, 11.129949528017937, 3.642535009504325, 34.0081224128258, 42463.63764078193]"
digestive,Liver replaced by transplant,573.2,"[573.2, 79234.0, 522252.0, 452.028552024349, 378.05512415495326, 540.4762395482863, ' < 2.225E-308']","[573.2, 79234.0, 516654.0, 461.9904033418995, 386.48343968215033, 552.2491027184584, ' < 2.225E-308']"
digestive,Hepatomegaly,573.3,"[573.3, 6285.0, 524738.0, 4.939731826937334, 3.4646092879809696, 7.042915519134196, 9.215749651614682e+17]","[573.3, 6285.0, 483471.0, 5.460415585285137, 3.828521454255094, 7.787898989278638, 1.3899452737334075e+20]"
digestive,Jaundice (not of newborn),573.5,"[573.5, 3336.0, 525027.0, 15.755068995992325, 9.511202551723535, 26.09787749957001, 1.0642670171010384e+26]","[573.5, 3336.0, 516551.0, 16.073645372161852, 9.704172066234143, 26.623814353930925, 2.5101996425505578e+26]"
digestive,Abnormal results of function study of liver,573.7,"[573.7, 10103.0, 524544.0, 24.31956582897656, 18.024643642219075, 32.81292511795312, 1.2611565983984922e+96]","[573.7, 10103.0, 509953.0, 25.168736976187176, 18.652682486973937, 33.9610842257606, 1.278577806758486e+98]"
digestive,Abnormal serum enzyme levels,573.9,"[573.9, 13677.0, 524285.0, 28.5549378460056, 22.038790011875975, 36.99769701285139, 1.5172224009182205e+141]","[573.9, 13677.0, 524285.0, 28.554937846006037, 22.038790011876312, 36.99769701285196, 1.5172224009218671e+141]"
digestive,Cholecystitis without cholelithiasis,574.3,"[574.3, 3711.0, 524848.0, 4.711744627703144, 3.169645712144681, 7.004106910632565, 55217362881349.21]","[574.3, 3711.0, 509748.0, 4.850661377339218, 3.2617506290655047, 7.213585118354514, 160153756856461.7]"
digestive,Obstruction of bile duct,575.2,"[575.2, 12911.0, 524424.0, 5.881921269677044, 4.438160548118781, 7.795346168210152, 1.6129757226431182e+34]","[575.2, 12911.0, 515830.0, 6.015018633937434, 4.53864094233432, 7.971648259094533, 1.134899253699538e+35]"
digestive,Cholesterolosis of gallbladder,575.6,"[575.6, 663.0, 525204.0, 0.1115824926396751, 0.0325883060032428, 0.3820589097955626, 2087.085145923213]","[575.6, 663.0, 521765.0, 0.1116776268712944, 0.0326119709393913, 0.3824329528191602, 2073.727471605526]"
digestive,Other disorders of gallbladder,575.7,"[575.7, 762.0, 525215.0, 1.2162471209374184, 0.419933482434332, 3.5225985092052787, 1.3922980110788319]","[575.7, 762.0, 501234.0, 1.2998987543267606, 0.4482664592845642, 3.769491864720581, 1.5893204288760858]"
digestive,Other disorders of biliary tract,575.8,"[575.8, 3113.0, 525006.0, 7.901876279887217, 4.847385275628932, 12.88109881765957, 8897861392218617.0]","[575.8, 3113.0, 509015.0, 8.270366976435866, 5.0724122043852775, 13.484505432304504, 4.082975584771118e+16]"
digestive,Nonspecific abnormal findings on radiological and other examination of biliary tract,575.9,"[575.9, 2472.0, 525063.0, 3.3780327534923584, 1.9215076933682127, 5.93862065868944, 42574.85208079788]","[575.9, 2472.0, 510082.0, 3.451639026330943, 1.9636914845405244, 6.067048750724954, 59875.967424665854]"
digestive,Diseases of pancreas,577.0,"[577.0, 813.0, 525190.0, 2.195019321321688, 0.9129122892013382, 5.27773574522767, 12.655156239031179]","[577.0, 813.0, 504921.0, 2.279252442389157, 0.9476750222914476, 5.481828236409159, 15.202732095188145]"
digestive,Chronic pancreatitis,577.2,"[577.2, 2315.0, 525068.0, 6.810595688074708, 3.910244822100315, 11.862227491297434, 81229603472.3486]","[577.2, 2315.0, 520766.0, 6.894721941604349, 3.9583112517948256, 12.00946252786098, 109196474228.57916]"
digestive,Cyst and pseudocyst of pancreas,577.3,"[577.3, 6810.0, 524796.0, 1.718734255799944, 1.1571128965605415, 2.5529466060234407, 136.98696062679105]","[577.3, 6810.0, 518927.0, 1.7288569885826073, 1.164033822221049, 2.56774883161713, 149.77519967646015]"
digestive,Hematemesis,578.1,"[578.1, 2434.0, 525096.0, 39.77036474594136, 21.84808347927614, 72.39453810790816, 5.232789870511871e+32]","[578.1, 2434.0, 517326.0, 40.814765866282464, 22.416191715692943, 74.31436766099948, 1.380981354123898e+33]"
digestive,Blood in stool,578.2,"[578.2, 5000.0, 524749.0, 11.500101670493398, 8.098117649525987, 16.33124438979054, 4.8658466715277e+41]","[578.2, 5000.0, 506347.0, 11.91671544117282, 8.390952760277148, 16.923954998072976, 7.337463175645961e+42]"
digestive,Hemorrhage of rectum and anus,578.8,"[578.8, 4627.0, 524659.0, 2.0352451946258667, 1.440114671297079, 2.8763147024374627, 17672.821220996448]","[578.8, 4627.0, 497437.0, 2.095215612462877, 1.482366000757514, 2.9614335868907284, 35797.40355877533]"
digestive,Hemorrhage of gastrointestinal tract,578.9,"[578.9, 11105.0, 524396.0, 29.451775423833933, 22.372963604676208, 38.77032524357437, 6.187104017704832e+127]","[578.9, 11105.0, 498241.0, 31.83432824247786, 24.173812549661484, 41.92240891120896, 2.077865795778758e+133]"
digestive,Splenomegaly,579.2,"[579.2, 3109.0, 525042.0, 8.161860202368374, 4.836053322419229, 13.774860929300129, 265041898577489.12]","[579.2, 3109.0, 503697.0, 8.745337895282233, 5.182305364931371, 14.758091142256015, 2188211767525339.0]"
digestive,Nonspecific abnormal findings in stool contents,579.8,"[579.8, 1199.0, 525150.0, 10.924393782384875, 5.45148884061068, 21.891703899964423, 63911901819.97559]","[579.8, 1199.0, 518237.0, 11.048537603123266, 5.513991897507194, 22.138259438287385, 80166239023.07036]"
endocrine/metabolic,Simple and unspecified goiter,240.0,"[240.0, 1959.0, 524900.0, 0.51589666258497, 0.3160738803190459, 0.842047961057897, 123.40178789332892]","[240.0, 1959.0, 515507.0, 0.5147198788632514, 0.3153308895297798, 0.8401858571232036, 126.64434888015808]"
endocrine/metabolic,Nontoxic uninodular goiter,241.1,"[241.1, 8922.0, 524091.0, 0.3485944343201884, 0.2608211584680021, 0.465905758385473, 930547453159.9448]","[241.1, 8922.0, 499400.0, 0.3506564661159343, 0.262362805234721, 0.4686638302975536, 696875057642.5864]"
endocrine/metabolic,Nontoxic multinodular goiter,241.2,"[241.2, 4715.0, 524467.0, 0.3767536260471457, 0.2661796659748529, 0.5332612249693127, 27399159.91089054]","[241.2, 4715.0, 504826.0, 0.3777123373290168, 0.2668315915079799, 0.5346691108210938, 25045050.050213583]"
endocrine/metabolic,Secondary hypothyroidism,244.1,"[244.1, 3777.0, 524914.0, 2.9499349628212683, 1.9014688464336311, 4.5765231974201885, 725175.9297477033]","[244.1, 3777.0, 515750.0, 2.9684879806179096, 1.9134338948007483, 4.605291520661917, 835012.4493266632]"
endocrine/metabolic,Acquired hypothyroidism,244.2,"[244.2, 5658.0, 524783.0, 9.965861767846238, 6.932955629506883, 14.325549748669532, 4.799074398234992e+34]","[244.2, 5658.0, 494589.0, 10.22381485085405, 7.111479909011957, 14.698261324212377, 2.568620044185417e+35]"
endocrine/metabolic,Hypothyroidism NOS,244.4,"[244.4, 27355.0, 522802.0, 18.301968377086457, 15.544562046174232, 21.548503295293045, 9.845206450818462e+265]","[244.4, 27355.0, 478872.0, 18.879255754199427, 16.037532134725385, 22.22451028239672, 1.6806517814294112e+272]"
endocrine/metabolic,Congenital hypothyroidism,244.5,"[244.5, 265.0, 525249.0, 3.032906084651515, 0.7635303802569137, 12.047352084695117, 8.703908239861414]","[244.5, 265.0, 524741.0, 3.034464349067996, 0.7639352949591635, 12.053342667269844, 8.716981127876705]"
endocrine/metabolic,Thyroiditis,245.0,"[245.0, 340.0, 525253.0, 2.967489757370741, 0.6873360529418627, 12.811775873547983, 6.898251674694758]","[245.0, 340.0, 522779.0, 2.969168179355116, 0.6878522398320401, 12.816647481510936, 6.910634934963851]"
endocrine/metabolic,"Thyroiditis, acute and subacute",245.1,"[245.1, 34.0, 525278.0, 0.1769710799288437, 0.0050851900940528, 6.158818559764144, 2.9501349603171763]","[245.1, 34.0, 524494.0, 0.1767947547165994, 0.0050791933017723, 6.153808968915518, 2.952338855280376]"
endocrine/metabolic,Chronic lymphocytic thyroiditis,245.21,"[245.21, 2838.0, 524885.0, 3.9248110554260713, 2.5863518497019693, 5.955934349214614, 7609652277.565605]","[245.21, 2838.0, 518909.0, 3.906485720168279, 2.574443552547865, 5.927739478605231, 6630069350.752593]"
endocrine/metabolic,Other disorders of thyroid,246.0,"[246.0, 1449.0, 525128.0, 4.681281210024242, 2.4203938808749017, 9.05406096936777, 221696.0052493511]","[246.0, 1449.0, 500211.0, 4.796345916256039, 2.4787005733907788, 9.281046042974044, 308841.8371089242]"
endocrine/metabolic,Abnormal results of function study of thyroid,246.7,"[246.7, 580.0, 525214.0, 7.862580568155175, 3.019614074590056, 20.472872249121465, 41542.96933905426]","[246.7, 580.0, 520257.0, 7.891622145361346, 3.030021276761583, 20.553552070010078, 42752.820523378854]"
endocrine/metabolic,Type 1 diabetes,250.1,"[250.1, 3202.0, 524995.0, 10.707213147376171, 6.649256222719835, 17.241689828648322, 5.637063669869313e+21]","[250.1, 3202.0, 491570.0, 12.460902468261995, 7.7289500795765536, 20.08993313772896, 2.4317468979444484e+24]"
endocrine/metabolic,Type 2 diabetes,250.2,"[250.2, 47182.0, 520660.0, 270.0353400740366, 235.21291506816308, 310.01309969637146, ' < 2.225E-308']","[250.2, 47182.0, 420373.0, 403.5533073259986, 350.90089391099366, 464.1061755033895, ' < 2.225E-308']"
endocrine/metabolic,Other abnormal glucose,250.42,"[250.42, 8711.0, 524474.0, 197.43610607015327, 143.30920455272295, 272.0063662470741, 3.9096856578166804e+228]","[250.42, 8711.0, 507520.0, 211.31935383299847, 153.3242428086145, 291.2511973735116, 7.649477809662882e+233]"
endocrine/metabolic,Glycosuria or Acetonuria,250.5,"[250.5, 93.0, 525271.0, 38.78533469438948, 4.931529351201211, 305.0376628072584, 1967.4966343371868]","[250.5, 93.0, 524449.0, 38.834765463539945, 4.936305236027908, 305.5198040836121, 1972.603146985985]"
endocrine/metabolic,Hypoglycemia,251.1,"[251.1, 2406.0, 525060.0, 61.467617270180206, 35.10572687553681, 107.625402153579, 2.2582780180932494e+46]","[251.1, 2406.0, 515405.0, 64.08284596158757, 36.5677320277694, 112.30149967785844, 1.3577913772484038e+47]"
endocrine/metabolic,Abnormality of secretion of glucagon or gastrin,251.8,"[251.8, 4.0, 525286.0, 17.082883077394342, 0.0048750670415358, 59860.69355550571, 2.018043328805618]","[251.8, 4.0, 525210.0, 17.08794562239116, 0.0048771525461337, 59870.56644870982, 2.018254904767918]"
endocrine/metabolic,Disorders of parathyroid gland,252.0,"[252.0, 136.0, 525262.0, 2.375593844789321, 0.4280786472024578, 13.1831992842471, 3.101975195795946]","[252.0, 136.0, 524085.0, 2.378429281321919, 0.428576632534225, 13.199333367289343, 3.108320726519708]"
endocrine/metabolic,Hyperparathyroidism,252.1,"[252.1, 7552.0, 524521.0, 0.5185607202435604, 0.3655692036508399, 0.7355795233680437, 4315.100504072997]","[252.1, 7552.0, 509702.0, 0.5412134707871938, 0.3813307905150482, 0.7681310511692385, 1697.418134685163]"
endocrine/metabolic,Hypoparathyroidism,252.2,"[252.2, 818.0, 525207.0, 2.1176806597061697, 0.8062904989333902, 5.561979686510036, 7.826374786088846]","[252.2, 818.0, 522366.0, 2.1448170017395265, 0.8163530759972817, 5.635110721339709, 8.226369761011894]"
endocrine/metabolic,Disorders of the pituitary gland and its hypothalamic control,253.0,"[253.0, 1451.0, 525121.0, 0.3588309463453762, 0.1649636335419006, 0.7805335351225362, 102.6544471639458]","[253.0, 1451.0, 521381.0, 0.3583743464116511, 0.1647570088292104, 0.7795247867064207, 103.6354492916205]"
endocrine/metabolic,Pituitary hyperfunction,253.1,"[253.1, 717.0, 525178.0, 0.3753132823210309, 0.1445840859144566, 0.9742431817145208, 22.699575554936473]","[253.1, 717.0, 514537.0, 0.3792608335728409, 0.1460658446702795, 0.984753007844232, 21.540913598594823]"
endocrine/metabolic,Acromegaly and gigantism,253.11,"[253.11, 468.0, 525223.0, 0.0414528217202205, 0.008808138391999, 0.1950850851899937, 17780.04122804722]","[253.11, 468.0, 524936.0, 0.0414279898061008, 0.0088026429442934, 0.1949730723188101, 17832.559261106362]"
endocrine/metabolic,Pituitary hypofunction,253.2,"[253.2, 1391.0, 525111.0, 2.213227404861452, 1.160007066915853, 4.22271181386267, 62.73257213149821]","[253.2, 1391.0, 523410.0, 2.212082159290373, 1.1594099440733645, 4.220515361683944, 62.464913462706974]"
